MATAKULIAH;SEMESTER;NILAI
IS545 Datawarehouse;1611;3,037857143
IS545 Datawarehouse;1821;3,442857143
IS555 E-Business;1811;3,350714286
IS556 Web Design and Development;1811;3,481428571
IS556 Web Design and Development;1821;2,927857143
IS557 Big Data Analytics 1;1811;3,532142857
IS571 IT Governance 1;1511;3,083571429
IS571 IT Governance 1;1611;3,365714286
IS571 IT Governance 1;1811;3,262142857
IS580 Enterprise Application and Systems 1;1511;3,410714286
IS580 Enterprise Application and Systems 1;1611;3,243571429
IS580 Enterprise Application and Systems 1;1711;4
IS580 Enterprise Application and Systems 1;1811;3,437857143
IS623 Information System Project;1521;3,445714286
IS623 Information System Project;1621;2,591428571
IS623 Information System Project;1721;3,402857143
IS623 Information System Project;1821;3,307857143
IS624 IS Advanced Topic;1621;3,774285714
IS624 IS Advanced Topic;1721;3,469285714
IS624 IS Advanced Topic;1821;3,668571429
IS645 Database Administration 1;1521;3,696428571
IS645 Database Administration 1;1621;3,794285714
IS645 Database Administration 1;1721;3,706428571
IS645 Database Administration 1;1821;3,463571429
IS647 Data Mining;1621;2,964285714
IS647 Data Mining;1721;3,208571429
IS652 Seminars on Information Systems;1521;3,475
IS652 Seminars on Information Systems;1621;3,785714286
IS652 Seminars on Information Systems;1721;3,595714286
IS652 Seminars on Information Systems;1821;3,545
IS655 Big Data Analytics 2;1821;3,482142857
IS660 Information Systems Research Methodologies;1521;3,241428571
IS660 Information Systems Research Methodologies;1621;3,803571429
IS660 Information Systems Research Methodologies;1721;3,297857143
IS660 Information Systems Research Methodologies;1821;3,218571429
IS670 Information System Auditing;1511;3,296428571
IS670 Information System Auditing;1611;3,331428571
IS670 Information System Auditing;1621;3,827857143
IS670 Information System Auditing;1721;3,233571429
IS670 Information System Auditing;1811;3,222142857
IS670 Information System Auditing;1821;3,373571429
IS672 IT Governance 2;1521;3,234285714
IS672 IT Governance 2;1721;3,435714286
IS672 IT Governance 2;1821;3,319285714
IS681 Enterprise Application and Systems 2;1521;3,383571429
IS681 Enterprise Application and Systems 2;1621;2,785714286
IS681 Enterprise Application and Systems 2;1721;3,168571429
IS681 Enterprise Application and Systems 2;1821;3,585
IS725 Information Systems Testing and Implementation;1511;3,581428571
IS725 Information Systems Testing and Implementation;1611;3,322142857
IS725 Information Systems Testing and Implementation;1811;3,592142857
IS726 Innovation in Information and Technology;1621;3,892857143
IS726 Innovation in Information and Technology;1811;3,271428571
IS726 Innovation in Information and Technology;1821;3,455714286
IS727 IS Advanced Topic 2;1511;3,266428571
IS727 IS Advanced Topic 2;1611;3,278571429
IS747 Database Administration 2;1511;3,629285714
IS747 Database Administration 2;1611;3,428571429
IS747 Database Administration 2;1811;3,74
IS748 Database Application Development 2;1511;3,521428571
IS749 Business Intelligence;1811;3,361428571
IS773 IT Governance 3;1611;3,12
IS773 IT Governance 3;1811;3,240714286
IS782 Enterprise Application and Systems 3;1511;3,281428571
IS782 Enterprise Application and Systems 3;1611;3,372142857
IS782 Enterprise Application and Systems 3;1711;3,285714286
IS782 Enterprise Application and Systems 3;1811;3,310714286
